Date,Hour,Imports,Exports
26-Jan-14,1,925,"2,161"
26-Jan-14,2,575,"2,234"
26-Jan-14,3,611,"2,316"
26-Jan-14,4,892,"2,181"
26-Jan-14,5,368,"1,659"
26-Jan-14,6,742,"1,706"
26-Jan-14,7,353,"1,670"
26-Jan-14,8,212,"1,884"
26-Jan-14,9,145,"1,835"
26-Jan-14,10,589,"1,976"
26-Jan-14,11,"1,151","2,145"
26-Jan-14,12,909,"1,610"
26-Jan-14,13,"1,109","2,156"
26-Jan-14,14,890,"2,122"
26-Jan-14,15,640,"2,204"
26-Jan-14,16,"1,000","2,127"
26-Jan-14,17,884,"2,601"
26-Jan-14,18,754,"2,746"
26-Jan-14,19,"1,129","3,129"
26-Jan-14,20,471,"2,963"
26-Jan-14,21,690,"3,078"
26-Jan-14,22,465,"3,326"
26-Jan-14,23,325,"3,277"
26-Jan-14,24,341,"2,873"
27-Jan-14,1,50,"1,856"
27-Jan-14,2,50,"1,681"
27-Jan-14,3,50,"1,831"
27-Jan-14,4,50,"2,306"
27-Jan-14,5,149,"2,574"
27-Jan-14,6,85,"2,459"
27-Jan-14,7,255,"3,104"
27-Jan-14,8,177,"2,856"
27-Jan-14,9,177,"2,424"
27-Jan-14,10,201,"1,834"
27-Jan-14,11,570,"1,987"
27-Jan-14,12,396,"1,741"
27-Jan-14,13,266,"1,633"
27-Jan-14,14,355,"1,798"
27-Jan-14,15,406,"1,856"
27-Jan-14,16,377,"1,837"
27-Jan-14,17,325,"1,731"
27-Jan-14,18,622,"2,689"
27-Jan-14,19,281,"2,663"
27-Jan-14,20,310,"3,074"
27-Jan-14,21,303,"2,942"
27-Jan-14,22,480,"3,064"
27-Jan-14,23,201,"2,459"
27-Jan-14,24,346,"2,019"
28-Jan-14,1,391,"2,472"
28-Jan-14,2,545,"2,410"
28-Jan-14,3,464,"2,597"
28-Jan-14,4,298,"2,599"
28-Jan-14,5,270,"2,989"
28-Jan-14,6,295,"3,033"
28-Jan-14,7,231,"3,245"
